dog_id,breed_primary,breed_secondary,breed_mixed
46042150,American Staffordshire Terrier,Mixed Breed,TRUE
46042002,Pit Bull Terrier,Mixed Breed,TRUE
46040898,Shepherd,,FALSE
46039877,German Shepherd Dog,,FALSE
46039306,Dachshund,,FALSE
46039304,Boxer,Beagle,TRUE
46039303,Italian Greyhound,Chihuahua,TRUE
46039302,Cattle Dog,,TRUE
46039301,Cattle Dog,,TRUE
46038709,Cattle Dog,,TRUE
46038708,Cattle Dog,Hound,TRUE
46038703,Italian Greyhound,Chihuahua,TRUE
46038700,Cattle Dog,,TRUE
46038243,Border Collie,,TRUE
46038070,Pit Bull Terrier,,TRUE
46038064,German Shepherd Dog,,TRUE
46038065,Schnauzer,Mixed Breed,TRUE
46038067,Pit Bull Terrier,,TRUE
46038068,Boxer,,TRUE
46038060,Pit Bull Terrier,,TRUE
46038062,Pit Bull Terrier,,TRUE
46038063,Pit Bull Terrier,,TRUE
46038061,Dachshund,Mixed Breed,TRUE
46037951,Shepherd,Border Collie,TRUE
46037918,Chihuahua,Border Collie,TRUE
46037881,Cocker Spaniel,Beagle,TRUE
46037860,Chihuahua,,FALSE
46037820,Chihuahua,,FALSE
46037762,Chihuahua,,FALSE
46037742,Cocker Spaniel,,FALSE
46037637,German Shepherd Dog,Mixed Breed,TRUE
46037534,Pit Bull Terrier,,TRUE
46036459,Boxer,,TRUE
46035351,Chihuahua,,TRUE
46035350,Chihuahua,,TRUE
46035353,Dachshund,Mixed Breed,TRUE
46035346,Chihuahua,Mixed Breed,TRUE
46035344,Pug,Mixed Breed,TRUE
46035342,Terrier,,TRUE
46034532,Labrador Retriever,Dachshund,TRUE
46033962,German Shepherd Dog,,TRUE
46032651,Pit Bull Terrier,Mixed Breed,TRUE
46032592,Dachshund,Mixed Breed,TRUE
46032594,Pit Bull Terrier,,TRUE
46032595,Pit Bull Terrier,,TRUE
46032596,Pit Bull Terrier,,TRUE
46032588,Pit Bull Terrier,Mixed Breed,TRUE
46032587,Pit Bull Terrier,,TRUE
46032589,Australian Cattle Dog / Blue Heeler,Mixed Breed,TRUE
46032253,Poodle,Terrier,TRUE
46031946,Terrier,Chihuahua,TRUE
46031507,American Bulldog,,TRUE
46031797,Mastiff,,TRUE
46031796,Chihuahua,Mixed Breed,TRUE
46029444,Labrador Retriever,,FALSE
46029446,Terrier,,FALSE
46028152,Chihuahua,Pug,TRUE
46027977,Chihuahua,Pug,TRUE
46027945,Chihuahua,Pug,TRUE
46027921,Chihuahua,Pug,TRUE
46027872,Chihuahua,,FALSE
46027804,Husky,,FALSE
46027303,Pit Bull Terrier,,TRUE
46026629,Poodle,,TRUE
46026616,Terrier,,TRUE
46026600,Chihuahua,,TRUE
46026454,Chihuahua,,TRUE
46026507,Chihuahua,,TRUE
46026395,Cocker Spaniel,,FALSE
46026306,Staffordshire Bull Terrier,,TRUE
46026195,Poodle,,FALSE
46026170,Chihuahua,,FALSE
46025014,Jindo,,FALSE
46024779,Corgi,Miniature Pinscher,TRUE
46024627,Chihuahua,Dachshund,TRUE
46023420,American Bulldog,Mixed Breed,TRUE
46021809,German Shepherd Dog,Mixed Breed,TRUE
46021807,Pit Bull Terrier,,TRUE
46020352,Shar-Pei,,TRUE
46020343,Pit Bull Terrier,,TRUE
46020326,Shar-Pei,,TRUE
46020312,Shepherd,Pit Bull Terrier,TRUE
46020301,Shepherd,,TRUE
46020258,Hound,,TRUE
46020245,Jack Russell Terrier,,TRUE
46020236,Retriever,,TRUE
46020230,Hound,,TRUE
46015991,Pit Bull Terrier,,TRUE
46015398,Pit Bull Terrier,,TRUE
46015218,Chihuahua,,TRUE
46012741,Chihuahua,Mixed Breed,TRUE
46012739,Siberian Husky,Labrador Retriever,TRUE
46012718,Pit Bull Terrier,,TRUE
46010922,Pit Bull Terrier,Mixed Breed,TRUE
46010921,American Bulldog,Chow Chow,TRUE
46010919,Terrier,,TRUE
46010918,Pit Bull Terrier,,TRUE
46008181,Pit Bull Terrier,,TRUE
46007891,Chihuahua,,FALSE
46007288,Pit Bull Terrier,,FALSE
46005760,Maltese,,TRUE
46005576,German Shepherd Dog,Golden Retriever,TRUE
46005725,Siberian Husky,,FALSE
46005633,Maltese,Poodle,TRUE
46005567,Maltese,Poodle,TRUE
46005531,Maltese,Poodle,TRUE
45989641,Chihuahua,Mixed Breed,TRUE
45988823,Terrier,Mixed Breed,TRUE
45988816,Pit Bull Terrier,,TRUE
45988814,Chihuahua,Mixed Breed,TRUE
45987766,Black Labrador Retriever,Australian Cattle Dog / Blue Heeler,TRUE
45987322,Akita,Siberian Husky,TRUE
45985729,Pit Bull Terrier,Mixed Breed,TRUE
45984048,Pit Bull Terrier,,TRUE
45983456,Pit Bull Terrier,Mixed Breed,TRUE
45982562,Chihuahua,,TRUE
45982546,Terrier,Chihuahua,TRUE
45982553,Schnauzer,Terrier,TRUE
45982538,Pit Bull Terrier,,TRUE
45981407,Chihuahua,,TRUE
45981405,Chow Chow,Mixed Breed,TRUE
45980158,Chihuahua,,TRUE
45980154,Chihuahua,Mixed Breed,TRUE
45979793,Akita,German Shepherd Dog,TRUE
45979787,Schnauzer,,TRUE
45979784,Pit Bull Terrier,Mixed Breed,TRUE
45979783,Pit Bull Terrier,Mixed Breed,TRUE
45978432,Redbone Coonhound,Shepherd,TRUE
45975578,Chihuahua,,FALSE
45975544,Chihuahua,,FALSE
45975178,Chihuahua,,TRUE
45975175,Chihuahua,,TRUE
45973102,Pit Bull Terrier,,TRUE
45973113,Chihuahua,,TRUE
45973097,Chihuahua,,TRUE
45973088,Chihuahua,,TRUE
45973081,Pit Bull Terrier,,TRUE
45967088,Chihuahua,,TRUE
45966541,Giant Schnauzer,,FALSE
45966538,Terrier,,TRUE
45966526,Labrador Retriever,,FALSE
45966461,Terrier,Maltese,TRUE
45962677,Mastiff,Mixed Breed,TRUE
45962675,Pit Bull Terrier,Mixed Breed,TRUE
45961141,Labrador Retriever,,TRUE
45959652,Redbone Coonhound,Shepherd,TRUE
45957822,Miniature Pinscher,,FALSE
45956950,Boxer,,TRUE
45956409,Bichon Frise,,TRUE
45956384,Pit Bull Terrier,,FALSE
45955609,Dachshund,,TRUE
45955503,Chihuahua,,FALSE
45955392,Miniature Pinscher,,TRUE
45955309,Shepherd,,TRUE
45955292,Wirehaired Terrier,,FALSE
45948995,Cattle Dog,,TRUE
45948988,Cattle Dog,,TRUE
45948983,Mastiff,,TRUE
45948074,Corgi,Chihuahua,TRUE
45948073,Chihuahua,,FALSE
45946828,Chihuahua,,TRUE
45946783,Belgian Shepherd / Malinois,American Staffordshire Terrier,TRUE
45945669,Pit Bull Terrier,,TRUE
45945618,Dachshund,Chihuahua,TRUE
45945609,Chihuahua,Dachshund,TRUE
45945344,Dachshund,,TRUE
45945119,Jack Russell Terrier,Poodle,TRUE
45945109,Jack Russell Terrier,Poodle,TRUE
45944294,Labrador Retriever,Shar-Pei,TRUE
45944275,Shar-Pei,,TRUE
45943335,German Shepherd Dog,Labrador Retriever,TRUE
45942310,Labrador Retriever,,FALSE
45935433,Dachshund,Chihuahua,TRUE
45935416,Terrier,,TRUE
45935404,Chihuahua,,TRUE
45931876,Beagle,Mixed Breed,TRUE
45929513,Pit Bull Terrier,Mixed Breed,TRUE
45929506,Cane Corso,Mixed Breed,TRUE
45924406,Shepherd,,TRUE
45924352,Boxer,Pit Bull Terrier,TRUE
45924259,Saint Bernard,Pit Bull Terrier,TRUE
45924189,Dogo Argentino,American Bulldog,TRUE
45924145,Pit Bull Terrier,Boxer,TRUE
45923620,German Shepherd Dog,,FALSE
45923614,German Shepherd Dog,,FALSE
45923611,German Shepherd Dog,,FALSE
45923603,German Shepherd Dog,,TRUE
45923600,German Shepherd Dog,,TRUE
45923317,Pit Bull Terrier,English Bulldog,TRUE
